Villages,fst,location,linear_distance_km,pop1,pop2
Kakeeka_Kachanga,-0.00011223,within,5.32,230,269
Zingoola_Katooke,-0.00023388,between,11.64,799,461
Zingoola_Kachanga,0.00032908,between,10.64,799,269
Katooke_Kachanga,0.00082797,within,1.16,461,269
Zingoola_Busi,0.00042031,within,8.29,799,205
Kachanga_Busi,0.0006089,between,8.93,269,205
Kisu_Kachanga,0.0010542,within,4.34,417,269
Katooke_Busi,0.00050821,between,9.99,461,205
Kisu_Katooke,0.0010812,within,4.11,417,461
Zingoola_Kisu,0.0015117,between,9.6,799,417
Zingoola_Kakeeka,0.0018234,between,5.72,799,230
Katooke_Lugumba,0.00049873,between,8.12,461,446
Zingoola_Kitosi,0.0009092,within,9.58,799,828
Zingoola_Lugumba,0.0026592,between,12.48,799,446
Kakeeka_Katooke,0.0019699,within,6.28,230,461
Kitosi_Katooke,0.0009558,between,7.36,828,461
Kakeeka_Busi,0.0022491,between,5.61,230,205
Kakeeka_Kisu,0.0023155,within,5.92,230,417
Lugumba_Busi,0.0031056,between,5.27,446,205
Kisu_Busi,0.0017976,between,11.29,417,205
Kitosi_Kachanga,0.0020522,between,6.13,828,269
Kitosi_Busi,0.0017254,within,3.11,828,205
Kitosi_Lugumba,0.0021054,between,2.88,828,205
Kachanga_Lugumba,0.0039534,between,7.16,269,446
Kitosi_Kisu,0.0033276,between,9.6,828,417
Kisu_Lugumba,0.0054889,between,11.2,417,446
Kakeeka_Kitosi,0.004865,between,4.92,230,828
Kakeeka_Lugumba,0.0073138,between,7.55,230,446
